Region	'Gordon_107_roi'	'Gordon_108_roi'	'Gordon_109_roi'	'Gordon_110_roi'	'Gordon_113_roi'	'Gordon_114_roi'	'Gordon_115_roi'	'Gordon_121_roi'	'Gordon_133_roi'	'Gordon_149_roi'	'Gordon_154_roi'	'Gordon_155_roi'	'Gordon_156_roi'	'Gordon_167_roi'	'Gordon_168_roi'	'Gordon_170_roi'	'Gordon_182_roi'	'Gordon_200_roi'	'Gordon_211_roi'	'Gordon_219_roi'	'Gordon_236_roi'	'Gordon_240_roi'	'Gordon_247_roi'	'Gordon_24_roi'	'Gordon_250_roi'	'Gordon_253_roi'	'Gordon_254_roi'	'Gordon_257_roi'	'Gordon_259_roi'	'Gordon_260_roi'	'Gordon_261_roi'	'Gordon_272_roi'	'Gordon_273_roi'	'Gordon_275_roi'	'Gordon_276_roi'	'Gordon_277_roi'	'Gordon_284_roi'	'Gordon_302_roi'	'Gordon_319_roi'	'Gordon_320_roi'	'Gordon_326_roi'	'Gordon_327_roi'	'Gordon_328_roi'	'Gordon_52_roi'	'Gordon_63_roi'	'Gordon_74_roi'	'Gordon_78_roi'	'Gordon_7_roi'	'Gordon_88_roi'	'Gordon_93_roi'	'Gordon_94_roi'	'Gordon_95_roi'	'Gordon_96_roi'	'Gordon_9_roi'
'Gordon_278_roi'	-0.100317103	0.023901236	-0.013120748	-0.194539984	-0.124959352	0.033494231	0.112483748	0.02510767	0.006938269	-0.053276343	0.165071501	-0.130985143	0.059044856	-0.091492864	-0.098793184	0.02359724	-0.055549181	0.109065339	-0.183185273	-0.211992571	-0.211979052	0.150438216	-0.125804272	0.011588404	-0.089488449	-0.045109016	-0.156197675	-0.061594442	0.317667631	-0.067353457	-0.101864521	0.165000884	-0.007798368	-0.236754707	0.044399166	0.183360352	0.050026782	0.069588372	0.209198287	-0.00291753	0.118636756	0.144044976	0.002260254	-0.194602454	-0.253679353	-0.144824392	0.093932882	-0.057055909	-0.12350577	-0.091635011	0.299346205	0.006839137	-0.10019403	-0.071534793
'Gordon_281_roi'	0.010386017	0.067365072	0.123174604	-0.005713649	0.085611505	-0.001470919	-0.045460562	-0.003845193	0.09667223	-0.020412267	0.061319814	-0.064860131	0.066920219	0.036741315	0.089527874	0.1501253	0.137163601	0.065306982	-0.059268368	-0.01181801	0.090800389	0.280256835	0.142962972	0.155979806	0.187120082	0.007469189	-0.133462687	-0.140410899	0.172844705	0.050467748	0.035981078	0.086830338	0.227209066	0.09092308	0.136218768	0.035763625	0.039724653	0.05974304	0.080498925	0.021826492	0.084343015	0.14977412	0.056082735	-0.045737342	-0.017744718	0.124156108	0.168628166	0.027315208	-0.011085378	-0.137438715	0.137978252	0.054026917	0.012885288	0.11133368
'Gordon_289_roi'	-0.035477086	0.15147936	0.053288033	-0.020243862	-0.032253003	0.101722159	0.108620315	0.074430396	0.156131994	0.023525779	0.061923848	0.073306498	0.108912861	0.259517545	0.139992152	0.289983245	0.185804633	0.231478935	0.049439863	0.182602716	0.080753081	0.367100731	0.099880281	0.190585419	0.094307866	0.042301592	0.028682953	0.029849312	0.331114934	0.196394014	0.085409757	0.353115595	0.23314129	0.017863541	0.055155587	0.273235271	0.109093176	0.409841032	0.250102744	0.195606606	0.183844029	0.362667739	0.190948535	0.04434026	0.107208556	0.030419905	0.206118377	0.091625172	-0.053299242	-0.000503784	0.242238505	0.055833667	0.128617151	0.087789659
'Gordon_290_roi'	-0.018889922	0.08250972	0.052571083	-0.211971762	-0.113764995	0.033618099	0.06322362	-0.026612558	-0.017783594	-0.027441879	0.133282642	-0.056427971	0.056272096	-0.039346398	-0.146767532	0.166227167	0.02839901	0.157275298	-0.148372506	-0.034818517	-0.197686856	0.067788822	-0.029915004	0.092554427	-0.050564549	-0.05676722	-0.054281104	0.000869076	0.359505212	-0.027749684	-0.085892477	0.166141481	0.072195012	-0.167287468	0.105675832	0.114042593	-0.009340393	0.061493379	0.16647575	0.038273005	0.138864876	0.265095687	0.203994089	-0.185207137	-0.095970166	-0.152289324	0.018643152	-0.0639337	-0.161829315	-0.091254679	0.259261266	-0.020939137	-0.054413573	0.002639429
'Gordon_291_roi'	-0.054813036	0.114719999	0.033188345	-0.171499916	-0.102191913	0.033056374	0.062309027	0.004286309	0.095121711	-0.058666545	0.149158124	-0.031203484	0.096903867	0.043192457	-0.07601778	0.190430158	0.008830086	0.18296352	-0.086503672	-0.066780552	-0.137458652	0.204482164	-0.081386973	0.131020119	-0.020871373	-0.008473947	-0.113844243	-0.038002762	0.35343957	0.02511224	-0.039393712	0.225439524	0.076147251	-0.152592026	0.029849148	0.100945016	0.024339116	0.135442482	0.175162805	0.006971539	0.190759867	0.242343979	0.097202535	-0.117265805	-0.102963327	-0.068765152	0.159200717	-0.047921798	-0.086499715	-0.10985304	0.327889333	0.054160249	0.004791859	0.059622975
'Gordon_292_roi'	-0.029883699	0.087921934	0.054906677	-0.139191	-0.049511489	0.001988702	0.035002185	0.015523129	-0.000194123	-0.012838765	0.02256207	-0.06680807	0.003374602	-0.050041484	-0.119384128	0.116469863	0.06091415	0.017910495	-0.135364283	-0.010441477	-0.117865038	0.0881441	0.010351527	0.112310624	0.037290269	-0.086567842	-0.099453293	-0.045921427	0.128110005	-0.074210766	-0.085985091	0.077427837	0.048569747	-0.070320118	0.055901387	0.041298552	0.027575406	0.032935293	0.06164907	-0.009783469	0.021414617	0.154889837	0.151450187	-0.143008491	-0.008754416	-0.045427842	0.074170473	-0.034247419	-0.121052709	-0.136689001	0.091749311	-0.081406555	-0.036015342	0.038371693
'Gordon_300_roi'	-0.028054252	0.042665205	-0.02071778	-0.104361436	-0.076221353	0.02206051	0.065102329	0.051130281	-0.010809172	0.016543245	0.036767655	0.008139386	-0.010495758	0.016275986	-0.055981361	0.073593109	0.05006965	0.044056246	-0.075262076	0.063079326	-0.059163415	0.118071473	-0.005671298	0.10040407	0.022719232	-0.07197412	-0.065897936	-0.028133531	0.086133076	-0.027680911	-0.070248436	0.110122618	0.007775387	-0.048665277	-0.005124332	0.05476556	0.072888283	0.030109753	0.064237733	-0.016708364	0.018187616	0.127134939	0.084638558	-0.089134048	0.046817545	-0.04612495	0.071890694	-0.019662852	-0.113151952	-0.070725668	0.063275852	-0.083190403	-0.065182174	0.002433005
'Gordon_301_roi'	-0.037625781	0.112437991	-0.000878614	-0.059715362	-0.058081585	0.076557102	0.136288916	0.102021022	0.042983838	0.04714972	0.078952064	0.05680061	0.035985886	0.048242385	-0.012544163	0.106785752	0.051405591	0.112380136	-0.088110344	0.092213726	-0.070450726	0.194042351	-0.029520286	0.165168495	0.022892626	-0.127807463	-0.084715707	-0.04324267	0.166455417	0.000941592	-0.065762062	0.20200814	0.010070608	-0.077776397	-0.033186899	0.107625482	0.070927451	0.10072983	0.108715419	0.047198538	0.066461654	0.177919665	0.097502397	-0.093582716	0.058864249	-0.026038541	0.141471775	0.043066114	-0.141023988	-0.10193852	0.187709298	-0.066361881	-0.008493714	0.069716332
'Gordon_315_roi'	-0.110565019	0.099997004	0.014651027	-0.078517253	-0.067918748	0.096045606	0.11470526	0.004249331	0.087146669	-0.016162683	0.265023183	0.058521436	0.224891393	0.223388167	0.059024651	0.200458538	0.100900604	0.544167864	0.005657468	0.083657563	0.028195002	0.278446578	-0.010846172	0.139518619	-0.046485818	0.065615689	-0.020045388	0.052393673	0.596550417	0.174986694	0.046625546	0.45606896	0.20673483	-0.104916341	0.058509703	0.261018263	0.032260054	0.132085961	0.360585821	0.14905374	0.36451999	0.445516699	0.189659869	-0.014497376	-0.065089655	-0.119324818	0.104299119	0.02836311	-0.073489084	-0.006664139	0.367722823	0.108013505	0.055459227	0.027406801
'Gordon_316_roi'	-0.076707226	0.112874926	0.019971407	-0.071702667	-0.095809215	0.073303536	0.141880663	0.047161426	0.018700548	0.029255709	0.213921424	0.054583749	0.146308944	0.161405904	0.036151217	0.116406779	0.084206687	0.305923976	-0.029496522	0.08842509	0.016735655	0.218777642	-0.019516266	0.128842343	0.028588828	-0.028820436	-0.035793082	0.022679359	0.384879323	0.108858291	0.026464402	0.372734179	0.15096023	-0.086552087	0.042178476	0.222399394	0.020808796	0.080011907	0.327896205	0.110558049	0.168639159	0.301166792	0.188725883	-0.046405974	-0.010753901	-0.091962607	0.08213223	-0.005293187	-0.10118867	-0.060052956	0.252951165	0.010612257	0.023870266	-0.014140905
