Region	FPCN1	FPCN10	FPCN11	FPCN12	FPCN13	FPCN14	FPCN15	FPCN16	FPCN17	FPCN18	FPCN19	FPCN2	FPCN20	FPCN21	FPCN22	FPCN23	FPCN24	FPCN25	FPCN3	FPCN4	FPCN5	FPCN6	FPCN7	FPCN8	FPCN9
DN23	0.178496681	0.069592965	-0.04663265	-0.135559682	-0.066415699	-0.050397328	-0.05796233	-0.027294555	-0.083812968	0.123189085	0.121722404	0.007258799	0.215992788	0.280636532	-0.126570629	0.095908812	0.144429992	0.184651885	0.048618146	0.13144238	-0.046250376	-0.064323707	-0.024889922	0.062117223	-0.081216566
DN24	0.129769149	0.060116376	0.00362065	-0.073886601	0.011790573	-0.022709006	0.022350108	0.048193568	0.021234621	0.206430119	0.142519432	-0.004317315	0.209577618	0.279462929	-0.082885938	0.109251611	0.169662691	0.180884857	0.041410895	0.219300653	0.055268618	-0.02826087	0.009657851	0.079737873	-0.06469142
DN25	0.121902984	0.113047778	0.071710591	-0.05217634	0.082882251	0.026885327	0.152673519	0.189476988	0.158216147	0.36574207	0.236068862	0.131762085	0.37283288	0.432929966	-0.007436918	0.188325046	0.325111093	0.287333737	0.065607679	0.3249033	0.13480232	0.071281278	0.060954257	0.12172511	-0.03114472
DN26	-0.069017661	-0.082217834	-0.068879566	-0.025905346	0.087784271	-0.076604096	0.128273158	0.084178921	0.143994378	0.051460793	0.239228804	0.106246547	0.020998538	0.020042783	-0.050190692	0.103843227	0.033750484	0.03109822	-0.091296435	0.03016887	1.61E-02	-0.037419789	-0.0365795	0.058103182	-0.002432538
DN27	0.056406547	-0.052045288	-0.102923028	-0.069114336	0.036648625	-0.062493891	0.060855365	0.014184563	0.021238657	0.038649364	0.224417117	0.086994974	0.063484405	0.117692698	-0.063002716	0.170675219	0.028109472	0.03791435	-0.002843437	0.084930616	-0.035839948	-0.036951579	0.026398745	0.10739109	-0.031349099
DN28	0.101459237	0.048623814	-0.088473219	-0.173531006	-0.136232018	-0.026480452	-0.10326938	-0.093897446	-0.042838949	0.049702116	0.056717113	-0.01049124	0.111677254	0.204162025	-0.118993879	0.026414625	0.111252162	0.087948154	0.04981078	0.018642084	-0.04317661	-0.050076545	-0.092810742	-0.015514212	-0.058688177
DN29	0.038916651	-0.004342126	0.037285179	0.016298137	-0.001895053	-0.078013479	-0.002668792	0.001538151	-0.026421134	0.111916325	0.075178487	-0.030296853	0.156501824	0.173449367	-0.102726439	0.036022169	0.152853544	0.141083675	-0.001477213	0.15009044	0.053582962	-0.0667442	-0.032077151	0.062859732	-0.06605508
DN3	-0.070174369	-0.046921142	-0.081306585	-0.09415722	-0.064988271	-0.044510725	-0.028801205	0.026428846	0.041288978	-0.022829375	0.038110082	0.048576514	0.037309169	0.011205854	-0.041993208	0.019825165	-0.034600121	-0.013125318	-0.038841438	-0.076696576	-0.065843743	-0.012687881	0.243563806	0.17747754	-0.008805673
DN30	-0.026524437	-0.10671045	-0.180526706	-0.169958944	-0.159573539	-0.148642971	-0.126596967	-0.07588814	-0.100642967	-0.093456464	0.210253072	0.008326619	-0.01243573	-0.0159896	-0.160294587	0.022760878	-0.059495583	-0.043791152	-0.079802534	-0.081540138	-0.097105702	-0.11857969	-0.104882424	0.000887399	-0.102547965
DN31	-0.023779877	-0.12853321	-0.099182171	-0.053766662	-0.071836907	-0.121366779	-0.025265972	-0.06482548	-0.077033763	-0.019134747	0.208934718	0.048359968	0.037234437	-0.012554772	-0.11374748	0.048667076	-0.019498489	-0.033036075	-0.115418621	-0.002581629	-0.109811417	-0.103509912	-0.038329869	0.084445505	-0.095487266
DN32	-0.153965004	-0.134131253	-0.042597752	0.027134701	-0.058061123	-0.145785119	-0.031496798	-0.087326955	-0.038025043	0.002755683	0.069162351	-0.07686845	0.058740191	-0.024184744	-0.169361837	0.046009022	-0.028499793	0.022401761	-0.123007493	-0.013105077	-0.073018799	-0.119878854	0.027133192	0.040481464	-0.169759519
DN33	-0.140163613	-0.16218872	-0.045910841	0.098958092	0.05707954	-0.139310633	0.079813913	-0.013019086	0.015776182	0.005277876	0.101619035	-0.042025773	0.055416301	-0.050703025	-0.12071159	0.092233472	-0.051582803	-0.000382728	-0.103251435	0.030129716	-0.041151181	-0.073075874	0.063862414	0.054835126	-0.078450954
DN34	-0.140355803	-0.086066452	-0.067847141	-0.050722771	-0.058247849	-0.096468343	-0.035094335	-0.048530529	0.006789879	-0.020990748	0.023037794	-0.048540088	0.029172087	0.003496303	-0.100625706	0.018100967	-0.025867921	0.010728363	-0.072102572	-0.043106567	-0.058925123	-0.064748286	0.151352762	0.099496224	-0.108306977
DN35	-0.132184754	-0.124845741	-0.01262093	0.05961495	0.013211519	-0.127590012	0.04694315	-0.004741046	-0.032495398	-0.020512352	0.052373998	-0.010665667	0.046082053	-0.073833994	-0.11225157	0.053193267	-0.047390573	0.00820015	-0.113652584	-0.000230608	-0.037055024	-0.123220284	0.136942099	0.076355334	-0.078866749
DN36	-0.053280063	-0.078738051	-0.052826978	-0.005749538	-0.017924888	-0.101250523	-0.017046102	-0.022402949	-0.011917084	0.000473485	0.069936464	-0.029277817	0.044698191	0.034635587	-0.118869919	0.037956657	0.001117473	0.049146669	-0.049219466	0.018726572	-0.079581891	-0.057720018	-0.0126088	-0.02215238	-0.083538004
DN37	0.120612407	0.120170094	0.113409632	0.094261189	0.206952123	-0.036566835	0.221337059	0.145187879	0.101708619	0.363350471	0.288830719	0.186317854	0.377779522	0.47748613	-0.026979761	0.264291705	0.300214856	0.485476901	0.118834987	0.355224398	0.05526186	0.008439615	0.145660259	0.150373277	0.030172125
DN38	-0.051157719	-0.093118531	0.070416626	0.108021173	0.054666309	-0.115172809	0.052579668	-0.047219566	-0.028690088	0.119065673	0.069003465	-0.059562262	0.133290278	0.067546527	-0.143305229	0.046107595	0.062554391	0.244318347	-0.020587312	0.107600458	-0.04807428	-0.10969414	0.029728558	0.055777674	-0.101494052
DN39	0.037397731	-0.033496023	0.004810077	-0.002434406	0.002140922	-0.041090002	0.043341441	-0.030433553	-0.026567969	0.125411496	0.103179785	0.045965909	0.179695585	0.160380808	-0.09050732	0.050177084	0.105358569	0.089235558	-0.016576089	0.112064911	0.008457631	-0.061788526	-0.000151768	0.040103024	-0.060094507
DN4	-0.025413539	0.00079785	-0.005998484	-0.014750665	-0.038876844	-0.04604439	0.000913717	-0.01830965	-0.009954888	0.028948032	-0.031912069	-0.033590155	-0.028644843	-0.027461139	-0.041923226	-0.037199632	-0.028129791	-0.016876301	-0.045371146	-0.027359525	-0.007436721	-0.022009238	-0.018063376	-0.039727091	-0.047375909
DN40	0.00254747	-0.05294886	-0.092020444	-0.038078958	-0.04678666	-0.105886827	-0.017030562	-0.067174812	-0.065971379	0.058015348	0.134544927	-0.02631731	0.106123037	0.103451816	-0.10259876	0.027867226	0.034766061	0.108871186	-0.041096678	0.072153674	-0.067181054	-0.088584692	-0.037762449	0.004052303	-0.058038387
DN41	-0.029150487	-0.038749457	-0.116524349	-0.114779976	-0.010504554	-0.086554644	0.035334367	0.025880941	0.052053719	0.041896621	0.236089614	0.085491445	0.07184084	0.087161483	-0.09769798	0.128880784	0.028798624	0.017909995	-0.054032502	0.040754373	-0.049420031	-0.035544429	-0.014441358	0.050943662	-0.065686151
DN42	0.144611616	0.055245867	-0.152018673	-0.161661767	-0.150956849	-0.067843484	-0.105755519	-0.090635528	-0.057994121	-0.056459426	0.020847825	0.031562061	0.021585114	0.018162561	-0.11121117	-0.037393886	-0.010398799	-0.051548754	0.032052193	-0.08843911	-0.103486273	-0.069952237	-0.086702442	-0.065847899	-0.091134488
DN43	0.197777889	0.08120329	-0.047206686	-0.026363716	-0.009273849	-0.008566419	0.004105605	-0.014022037	0.001971135	0.088535852	0.07499497	0.051313842	0.118990491	0.104218728	-0.05058628	0.040970044	0.09246328	0.065623582	0.088766505	0.05182817	-0.042989467	-0.009905359	-0.010817591	0.062331818	-0.062966777
DN44	0.035388622	-0.010078845	-0.046890063	-0.00106883	0.160268531	-0.048681748	0.206032862	0.141913349	0.128943399	0.154403165	0.322484626	0.220972117	0.141154926	0.162686983	0.010125117	0.293112475	0.075388979	0.083502621	0.003687657	0.179532008	0.006584207	0.095416428	0.073909558	0.133983394	0.04508564
DN45	0.149253123	0.065196122	-0.024653733	-0.022975229	0.1139693	-0.015694803	0.144254562	0.072928243	0.131013018	0.237516435	0.140306856	0.119395265	0.170923512	0.251183432	0.004109854	0.177646695	0.172355062	0.147353766	0.06343135	0.181864284	-0.040807694	0.070845334	0.066663921	0.068711121	-0.007629152
DN46	0.03506444	-0.053980827	-0.025824465	0.049648583	0.149609498	-0.058768427	0.160670234	0.119528139	0.084748707	0.098748962	0.291434756	0.143037493	0.119677597	0.116579162	-0.033405226	0.194618749	0.042359017	0.141000761	-0.006387303	0.144100742	0.04731787	0.01117958	0.060963191	0.145812898	-0.010139994
DN47	-0.044831491	-0.050125323	0.108987894	0.204130164	0.143614359	-0.06319152	0.122672333	0.053160015	0.047402785	0.091247962	0.064578041	-0.005257174	0.115344781	-0.005244321	-0.072435687	0.07547856	0.048024675	0.202574171	-0.009814141	0.104843162	-0.009118023	-0.0564965	0.091863493	0.086023565	-0.032360467
DN48	0.093204404	0.038538494	-0.070463292	-0.019350083	-0.046432509	-0.054571216	-0.070554601	-0.019825897	-0.015268057	-0.057601403	0.0770414	0.087049258	-0.033667683	-0.044345252	-0.043812326	-0.033233927	-0.019359068	-0.052215744	-0.000115848	-0.07661096	-0.02005815	-0.037952106	-0.052186864	-0.048527982	0.036211565
DN49	-0.01524413	0.009377092	-0.031284595	-0.055412706	-0.035279909	0.009206434	-0.024236069	0.047140118	0.043315476	-0.022345349	-0.043243997	-0.013165981	-0.045589406	-0.054894383	0.031225468	-0.054516026	-0.023623976	-0.036252832	-0.03660271	-0.02280073	0.065614172	0.023243164	-0.018034872	-0.011047046	-0.001952987
DN5	0.03928405	0.004026872	0.057453323	0.041061855	0.059088362	0.032277357	0.084525378	0.030019051	0.058319167	0.184971773	0.086230184	0.045784669	0.213024721	0.138655382	0.019158461	0.039029824	0.127720332	0.112135414	-0.016506669	0.124283294	0.043401283	-0.003467113	0.128352851	0.198981442	0.003921138
DN50	-0.008292687	-0.005785127	-0.055768933	-0.073120808	-0.036498429	0.053230653	-0.026259771	0.058449492	0.060095767	-0.058156362	-0.022846023	0.030640424	-0.039337842	-0.068770562	0.035549399	-0.04518229	-0.002595661	-0.07623151	-0.018001923	-0.064479828	0.049258326	0.069458154	-0.004929446	-0.03499621	0.043228346
DN51	-0.002746557	0.031249962	-0.006364119	-0.084965742	-0.023886149	0.051554777	-0.047832779	0.029650682	0.042894804	-0.058375972	-0.011707144	0.039936156	-0.084304999	-0.048694333	0.044191682	-0.04498026	0.016362651	-0.086980383	-0.00212831	-0.060164173	0.08307277	0.073767309	-0.023925149	-0.070307333	0.018757907
DN52	0.13082282	0.014751742	-0.081526575	-0.137532016	-0.109726534	-0.058192647	-0.106201495	-0.051041299	-0.084485216	0.031604386	0.087510128	-0.024878763	0.144755184	0.176027135	-0.110011217	0.028215386	0.081018538	0.046460561	0.009971175	0.040415404	-0.009386781	-0.048980898	-0.049884605	0.038088018	-0.092266633
DN53	0.122308556	-0.009471947	-0.163612252	-0.180670832	-0.128404195	-0.051327225	-0.076401798	-0.075631974	-0.040669426	-0.012799234	0.158864783	0.043901137	0.027449283	-0.008920985	-0.086490457	-0.033932623	0.032320069	-0.037455133	-0.024457437	-0.044310702	-0.028241318	-0.094100457	-0.072311658	0.044504565	-0.044049511
DN54	0.152495378	0.017377565	-0.177710684	-0.131386969	-0.096783646	-0.052741361	-0.047023825	-0.039742433	-0.034264341	0.024606187	0.121859098	0.0311297	0.053522366	0.061284705	-0.067420402	-0.020941257	0.031381951	-0.023327223	-0.017969354	-0.0215652	-0.113587544	-0.050151668	-0.032265884	0.018038792	-0.062673741
DN55	-0.046617975	-0.066839631	-0.025137735	0.031684275	0.164814914	-0.042472999	0.276601703	0.19226837	0.193330804	0.196257622	0.331187835	0.182006579	0.100877841	0.048566356	0.007536797	0.215057651	0.088961424	0.03171704	-0.058983761	0.184158088	0.006819094	0.060971655	0.047353671	0.118620615	0.00701492
DN56	0.260071094	0.121001806	-0.021325915	-0.074648004	-0.045888112	0.026208246	-0.031597254	-0.040470913	-0.032226902	0.037805423	-0.027217197	0.027052797	0.02908078	0.066465414	0.00318694	-0.028796118	0.06307276	0.023133693	0.141114372	-0.002116689	-0.046438094	-0.041644655	-0.055212116	-0.021651885	-0.001337993
DN57	0.229185111	0.107132355	-0.01255506	-0.075216133	-0.040344917	-0.018645107	-0.020388435	-0.015355177	-0.05702573	0.150944861	0.09965304	0.057731507	0.197011335	0.338611514	-0.077444259	0.104899419	0.173780965	0.235898933	0.126885269	0.179641719	-0.031633837	-0.025401843	0.036662567	0.108278529	-0.005142781
DN58	0.094701649	0.016702722	-0.013063256	-0.030146534	0.074280211	-0.038964866	0.100790772	0.010527064	-0.028679961	0.14737277	0.293743896	0.184472296	0.145802143	0.266728884	-0.031694536	0.272135692	0.124617277	0.170294238	0.025390651	0.182204696	-0.060755116	-0.017491886	0.13099327	0.162145707	0.072649981
DN6	0.090404958	0.047169722	-0.124574193	-0.172615229	-0.082828825	-0.079317478	0.014881463	0.047333484	0.054370696	0.15331244	0.165997699	0.053705688	0.134342217	0.212864076	-0.096790896	0.054803274	0.153013953	0.070218906	-0.038755647	0.118870784	0.02968798	-0.037652439	-0.086171508	0.015851198	-0.071073226
DN7	-0.077867785	0.001646233	0.006077097	-0.058399647	0.12882156	0.027232039	0.12269814	0.255308962	0.295157541	0.003120969	0.09372436	0.155122314	-0.04601257	-0.040369381	0.090441284	0.033600217	-0.021822038	-0.047249005	-0.035150386	0.081242886	0.156539309	0.238032064	0.003012103	0.006571195	0.157792052
DN8	0.075451483	0.001077101	-0.16746949	-0.175530037	-0.116808243	-0.024609258	-0.066020653	-0.041895975	-0.013579571	-0.000845602	0.077215445	0.023496968	0.032974514	0.085096061	-0.05651926	0.004357448	0.017654704	-0.019284303	0.000386243	-0.042238158	-0.10497662	-0.026272653	-0.053231407	-0.001352466	-0.079195103
DN9	0.076662165	-0.035083851	-0.159875	-0.168622977	-0.088717471	-0.041992752	-0.077112207	-0.043599817	-0.040403085	-0.025816934	0.111194292	0.063669705	0.002060527	0.01691284	-0.080707889	-0.047014149	0.014329026	-0.031711523	-0.025228191	-0.036916564	-0.045932575	-0.04654214	-0.044118136	0.017475836	-0.036575704
